"","ArrDelay","Month","DayOfWeek","CRSDepTime","CRSArrTime","AirTime","Distance","TaxiIn","TaxiOut","DepDelay","Diverted","Carrier","Weather","NAS","Security","LateAircraft"
"1",-7,2,4,700,836,244,1814,8,17,0,0,0,0,0,0,0
"2",57,11,4,1615,1800,66,413,4,13,79,0,1,0,0,0,1
"3",-15,12,2,645,920,118,972,8,12,2,0,0,0,0,0,0
"4",-4,3,3,620,745,73,444,3,8,-3,0,0,0,0,0,0
"5",-5,12,7,1000,1015,52,304,6,13,-1,0,0,0,0,0,0
"6",19,5,3,1454,1753,88,629,5,12,33,0,1,0,0,0,0
"7",-5,12,5,2145,2359,111,758,6,11,1,0,0,0,0,0,0
"8",30,1,5,840,955,68,308,6,22,9,0,1,0,1,0,0
"9",106,12,1,1655,1950,93,675,12,19,97,0,1,0,1,0,0
"10",20,3,1,1700,2129,177,1389,4,14,34,0,1,0,0,0,1
"11",25,8,1,640,800,47,228,40,18,0,0,0,0,1,0,0
"12",-4,12,7,1935,2056,58,342,4,12,3,0,0,0,0,0,0
"13",46,1,3,1903,2030,42,229,21,21,49,0,0,0,0,0,1
"14",7,3,3,2030,2155,64,480,4,10,14,0,0,0,0,0,0
"15",112,1,7,1442,1622,170,967,11,40,51,0,1,0,1,0,1
"16",8,4,6,1256,1414,180,1235,13,19,-6,0,0,0,0,0,0
"17",-25,3,7,2055,2340,132,972,6,11,-9,0,0,0,0,0,0
"18",8,1,5,1528,1629,177,1084,8,11,-7,0,0,0,0,0,0
"19",-2,6,7,1205,1340,77,399,5,12,-1,0,0,0,0,0,0
"20",-6,11,4,745,842,31,164,2,19,-1,0,0,0,0,0,0
"21",-17,2,4,1050,1235,116,957,5,27,0,0,0,0,0,0,0
"22",-22,3,6,1520,1650,53,331,10,9,-4,0,0,0,0,0,0
"23",0,4,2,700,840,73,499,5,27,-5,0,0,0,0,0,0
"24",5,1,5,1230,1509,69,493,9,26,0,0,0,0,0,0,0
"25",-3,7,4,1820,2015,276,2136,8,10,-2,0,0,0,0,0,0
"26",1,2,2,1325,1431,39,157,23,10,-5,0,0,0,0,0,0
"27",-3,8,1,1015,1230,114,762,7,17,-6,0,0,0,0,0,0
"28",3,7,4,1036,1216,81,515,7,10,5,0,0,0,0,0,0
"29",29,12,1,1710,1810,41,197,3,23,22,0,0,0,1,0,1
"30",-11,6,5,715,1009,89,574,5,20,-11,0,0,0,0,0,0
"31",-10,1,7,1024,1258,113,641,12,19,0,0,0,0,0,0,0
"32",7,1,4,800,1110,160,1024,5,36,-4,0,0,0,0,0,0
"33",-25,11,1,1605,1859,140,1035,5,10,-6,0,0,0,0,0,0
"34",-38,2,1,1640,2025,110,872,9,13,-5,0,0,0,0,0,0
"35",-2,8,7,1335,1528,84,625,3,14,10,0,0,0,0,0,0
"36",-16,4,4,725,815,81,518,7,11,-5,0,0,0,0,0,0
"37",-4,11,7,1011,1246,69,589,4,20,-2,0,0,0,0,0,0
"38",14,8,2,945,1305,113,867,7,35,-1,0,0,0,0,0,0
"39",24,6,4,1044,1411,139,948,6,27,-1,0,0,0,1,0,0
"40",-4,6,1,1442,1636,90,576,8,16,-4,0,0,0,0,0,0
"41",-14,8,4,750,918,54,337,10,17,-7,0,0,0,0,0,0
"42",-10,6,5,800,1251,200,1417,10,14,-3,0,0,0,0,0,0
"43",-9,11,5,1404,1530,54,370,7,21,-5,0,0,0,0,0,0
"44",-23,9,3,2146,2258,41,258,5,13,-10,0,0,0,0,0,0
"45",3,1,2,920,1020,28,153,3,32,0,0,0,0,0,0,0
"46",-5,2,3,1115,1220,44,164,4,16,-4,0,0,0,0,0,0
"47",-14,2,3,640,815,66,413,7,14,-6,0,0,0,0,0,0
"48",11,7,3,700,940,337,2335,8,9,-3,0,0,0,0,0,0
"49",-20,9,1,1240,1442,92,631,2,11,-3,0,0,0,0,0,0
"50",-9,1,7,1235,1345,52,308,2,6,1,0,0,0,0,0,0
"51",54,4,7,1510,1615,35,237,4,18,62,0,0,0,1,0,1
"52",-4,11,7,1503,1624,52,356,14,14,-3,0,0,0,0,0,0
"53",10,1,3,1455,1751,150,950,6,32,-2,0,0,0,0,0,0
"54",-1,8,5,1059,1423,353,2845,4,22,4,0,0,0,0,0,0
